"Notes"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2018"	"2018"	"Jan., 2018"	"2018/01"	5701	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Feb., 2018"	"2018/02"	4522	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Mar., 2018"	"2018/03"	4660	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Apr., 2018"	"2018/04"	4406	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"May, 2018"	"2018/05"	4458	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Jun., 2018"	"2018/06"	4238	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Jul., 2018"	"2018/07"	4359	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Aug., 2018"	"2018/08"	4275	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Sep., 2018"	"2018/09"	4159	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Oct., 2018"	"2018/10"	4341	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Nov., 2018"	"2018/11"	4380	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Dec., 2018"	"2018/12"	4853	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Jan., 2019"	"2019/01"	4911	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Feb., 2019"	"2019/02"	4400	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Mar., 2019"	"2019/03"	4755	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Apr., 2019"	"2019/04"	4433	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"May, 2019"	"2019/05"	4575	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Jun., 2019"	"2019/06"	4305	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Jul., 2019"	"2019/07"	4433	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Aug., 2019"	"2019/08"	4402	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Sep., 2019"	"2019/09"	4171	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Oct., 2019"	"2019/10"	4362	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Nov., 2019"	"2019/11"	4529	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Dec., 2019"	"2019/12"	4832	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jan., 2020"	"2020/01"	4853	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Feb., 2020"	"2020/02"	4693	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Mar., 2020"	"2020/03"	4881	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Apr., 2020"	"2020/04"	4956	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"May, 2020"	"2020/05"	5190	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jun., 2020"	"2020/06"	5006	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jul., 2020"	"2020/07"	5869	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Aug., 2020"	"2020/08"	5892	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Sep., 2020"	"2020/09"	5224	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Oct., 2020"	"2020/10"	5322	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Nov., 2020"	"2020/11"	5681	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Dec., 2020"	"2020/12"	7212	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021 (provisional)"	"2021"	"Jan., 2021 (provisional)"	"2021/01"	8048	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021 (provisional)"	"2021"	"Feb., 2021 (provisional)"	"2021/02"	5661	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021 (provisional)"	"2021"	"Mar., 2021 (provisional)"	"2021/03"	5218	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021 (provisional)"	"2021"	"Apr., 2021 (provisional)"	"2021/04"	5051	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021 (provisional)"	"2021"	"May, 2021 (provisional)"	"2021/05"	5009	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021 (provisional)"	"2021"	"Jun., 2021 (provisional)"	"2021/06"	4795	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021 (provisional)"	"2021"	"Jul., 2021 (provisional)"	"2021/07"	5036	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021 (provisional)"	"2021"	"Aug., 2021 (provisional)"	"2021/08"	6853	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021 (provisional)"	"2021"	"Sep., 2021 (provisional)"	"2021/09"	6908	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021 (provisional)"	"2021"	"Oct., 2021 (provisional)"	"2021/10"	5752	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021 (provisional)"	"2021"	"Nov., 2021 (provisional)"	"2021/11"	5135	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021 (provisional)"	"2021"	"Dec., 2021 (provisional)"	"2021/12"	5423	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional and partial)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	6800	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional and partial)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	6060	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional and partial)"	"2022"	"Mar., 2022 (provisional)"	"2022/03"	5110	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional and partial)"	"2022"	"Apr., 2022 (provisional)"	"2022/04"	4597	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional and partial)"	"2022"	"May, 2022 (provisional)"	"2022/05"	4663	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional and partial)"	"2022"	"Jun., 2022 (provisional)"	"2022/06"	4680	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional and partial)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	4880	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional and partial)"	"2022"	"Aug., 2022 (provisional)"	"2022/08"	4676	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional and partial)"	"2022"	"Sep., 2022 (provisional)"	"2022/09"	3147	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Jan., 2018"	"2018/01"	397	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Feb., 2018"	"2018/02"	337	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Mar., 2018"	"2018/03"	361	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Apr., 2018"	"2018/04"	392	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"May, 2018"	"2018/05"	357	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Jun., 2018"	"2018/06"	321	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Jul., 2018"	"2018/07"	371	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Aug., 2018"	"2018/08"	389	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Sep., 2018"	"2018/09"	352	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Oct., 2018"	"2018/10"	371	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Nov., 2018"	"2018/11"	402	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Dec., 2018"	"2018/12"	403	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Jan., 2019"	"2019/01"	421	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Feb., 2019"	"2019/02"	378	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Mar., 2019"	"2019/03"	429	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Apr., 2019"	"2019/04"	355	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"May, 2019"	"2019/05"	397	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Jun., 2019"	"2019/06"	373	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Jul., 2019"	"2019/07"	312	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Aug., 2019"	"2019/08"	351	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Sep., 2019"	"2019/09"	364	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Oct., 2019"	"2019/10"	383	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Nov., 2019"	"2019/11"	422	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Dec., 2019"	"2019/12"	428	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Jan., 2020"	"2020/01"	440	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Feb., 2020"	"2020/02"	383	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Mar., 2020"	"2020/03"	370	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Apr., 2020"	"2020/04"	369	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"May, 2020"	"2020/05"	408	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Jun., 2020"	"2020/06"	380	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Jul., 2020"	"2020/07"	433	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Aug., 2020"	"2020/08"	438	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Sep., 2020"	"2020/09"	432	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Oct., 2020"	"2020/10"	481	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Nov., 2020"	"2020/11"	511	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Dec., 2020"	"2020/12"	525	Not Applicable	Not Applicable
