"country_name","year","time","deaths"
"Austria","2000",1,8560
"Austria","2000",2,7156
"Austria","2000",3,6689
"Austria","2000",4,6208
"Austria","2000",5,5768
"Austria","2000",6,5827
"Austria","2000",7,5898
"Austria","2000",8,6163
"Austria","2000",9,5625
"Austria","2000",10,6220
"Austria","2000",11,6251
"Austria","2000",12,6415
"Austria","2001",1,6866
"Austria","2001",2,5955
"Austria","2001",3,6456
"Austria","2001",4,6317
"Austria","2001",5,6155
"Austria","2001",6,5772
"Austria","2001",7,5950
"Austria","2001",8,6149
"Austria","2001",9,5634
"Austria","2001",10,6240
"Austria","2001",11,6290
"Austria","2001",12,6983
"Austria","2002",1,7017
"Austria","2002",2,6193
"Austria","2002",3,6672
"Austria","2002",4,6290
"Austria","2002",5,6234
"Austria","2002",6,6297
"Austria","2002",7,6031
"Austria","2002",8,5930
"Austria","2002",9,5774
"Austria","2002",10,6322
"Austria","2002",11,6320
"Austria","2002",12,7051
"Austria","2003",1,7162
"Austria","2003",2,6932
"Austria","2003",3,7680
"Austria","2003",4,6206
"Austria","2003",5,6214
"Austria","2003",6,5935
"Austria","2003",7,6184
"Austria","2003",8,6178
"Austria","2003",9,5785
"Austria","2003",10,6297
"Austria","2003",11,6118
"Austria","2003",12,6518
"Austria","2004",1,7471
"Austria","2004",2,6531
"Austria","2004",3,6521
"Austria","2004",4,5992
"Austria","2004",5,5899
"Austria","2004",6,5705
"Austria","2004",7,5913
"Austria","2004",8,5718
"Austria","2004",9,5523
"Austria","2004",10,6169
"Austria","2004",11,6150
"Austria","2004",12,6700
"Austria","2005",1,7011
"Austria","2005",2,7147
"Austria","2005",3,7214
"Austria","2005",4,6044
"Austria","2005",5,6190
"Austria","2005",6,5599
"Austria","2005",7,5804
"Austria","2005",8,5725
"Austria","2005",9,5523
"Austria","2005",10,6232
"Austria","2005",11,6123
"Austria","2005",12,6577
"Austria","2006",1,6708
"Austria","2006",2,6142
"Austria","2006",3,6676
"Austria","2006",4,6094
"Austria","2006",5,6212
"Austria","2006",6,6176
"Austria","2006",7,6127
"Austria","2006",8,5874
"Austria","2006",9,5750
"Austria","2006",10,6044
"Austria","2006",11,6113
"Austria","2006",12,6379
"Austria","2007",1,6645
"Austria","2007",2,6373
"Austria","2007",3,6748
"Austria","2007",4,6077
"Austria","2007",5,6106
"Austria","2007",6,5711
"Austria","2007",7,6270
"Austria","2007",8,5870
"Austria","2007",9,5644
"Austria","2007",10,6221
"Austria","2007",11,6306
"Austria","2007",12,6654
"Austria","2008",1,7292
"Austria","2008",2,6384
"Austria","2008",3,6590
"Austria","2008",4,6265
"Austria","2008",5,6150
"Austria","2008",6,5706
"Austria","2008",7,5896
"Austria","2008",8,5794
"Austria","2008",9,5864
"Austria","2008",10,6385
"Austria","2008",11,6055
"Austria","2008",12,6702
"Austria","2009",1,8364
"Austria","2009",2,7131
"Austria","2009",3,6701
"Austria","2009",4,6248
"Austria","2009",5,6162
"Austria","2009",6,5696
"Austria","2009",7,6073
"Austria","2009",8,5953
"Austria","2009",9,5799
"Austria","2009",10,6353
"Austria","2009",11,6160
"Austria","2009",12,6741
"Austria","2010",1,6937
"Austria","2010",2,6340
"Austria","2010",3,6910
"Austria","2010",4,6163
"Austria","2010",5,6305
"Austria","2010",6,6115
"Austria","2010",7,6528
"Austria","2010",8,6122
"Austria","2010",9,6039
"Austria","2010",10,6427
"Austria","2010",11,6199
"Austria","2010",12,7114
"Austria","2011",1,6966
"Austria","2011",2,6345
"Austria","2011",3,6938
"Austria","2011",4,6203
"Austria","2011",5,6360
"Austria","2011",6,5837
"Austria","2011",7,6102
"Austria","2011",8,6180
"Austria","2011",9,5836
"Austria","2011",10,6376
"Austria","2011",11,6399
"Austria","2011",12,6937
"Austria","2012",1,6988
"Austria","2012",2,7317
"Austria","2012",3,7656
"Austria","2012",4,6469
"Austria","2012",5,6440
"Austria","2012",6,6158
"Austria","2012",7,6326
"Austria","2012",8,6064
"Austria","2012",9,6054
"Austria","2012",10,6536
"Austria","2012",11,6435
"Austria","2012",12,6993
"Austria","2013",1,7254
"Austria","2013",2,7019
"Austria","2013",3,7454
"Austria","2013",4,6739
"Austria","2013",5,6329
"Austria","2013",6,6312
"Austria","2013",7,6447
"Austria","2013",8,6425
"Austria","2013",9,6050
"Austria","2013",10,6476
"Austria","2013",11,6269
"Austria","2013",12,6752
"Austria","2014",1,6798
"Austria","2014",2,6546
"Austria","2014",3,7000
"Austria","2014",4,6543
"Austria","2014",5,6586
"Austria","2014",6,6190
"Austria","2014",7,6227
"Austria","2014",8,6112
"Austria","2014",9,6121
"Austria","2014",10,6521
"Austria","2014",11,6502
"Austria","2014",12,7106
"Austria","2015",1,8068
"Austria","2015",2,7953
"Austria","2015",3,7879
"Austria","2015",4,6827
"Austria","2015",5,6333
"Austria","2015",6,6088
"Austria","2015",7,6884
"Austria","2015",8,6805
"Austria","2015",9,6228
"Austria","2015",10,6624
"Austria","2015",11,6474
"Austria","2015",12,6910
"Austria","2016",1,7189
"Austria","2016",2,6816
"Austria","2016",3,7059
"Austria","2016",4,6541
"Austria","2016",5,6636
"Austria","2016",6,6066
"Austria","2016",7,6258
"Austria","2016",8,6298
"Austria","2016",9,6132
"Austria","2016",10,6929
"Austria","2016",11,6718
"Austria","2016",12,8027
"Austria","2017",1,9728
"Austria","2017",2,7460
"Austria","2017",3,7110
"Austria","2017",4,6513
"Austria","2017",5,6584
"Austria","2017",6,6163
"Austria","2017",7,6345
"Austria","2017",8,6531
"Austria","2017",9,6138
"Austria","2017",10,6764
"Austria","2017",11,6681
"Austria","2017",12,7253
"Austria","2018",1,8049
"Austria","2018",2,7854
"Austria","2018",3,8339
"Austria","2018",4,6699
"Austria","2018",5,6269
"Austria","2018",6,6190
"Austria","2018",7,6630
"Austria","2018",8,6777
"Austria","2018",9,6232
"Austria","2018",10,6824
"Austria","2018",11,6701
"Austria","2018",12,7411
"Austria","2019",1,7601
"Austria","2019",2,7240
"Austria","2019",3,7787
"Austria","2019",4,6816
"Austria","2019",5,6754
"Austria","2019",6,6528
"Austria","2019",7,6607
"Austria","2019",8,6559
"Austria","2019",9,6441
"Austria","2019",10,6977
"Austria","2019",11,6813
"Austria","2019",12,7263
"Austria","2020",1,7950
"Austria","2020",2,7291
"Austria","2020",3,7974
"Austria","2020",4,7297
"Austria","2020",5,6591
"Austria","2020",6,6331
"Austria","2020",7,6592
"Austria","2020",8,6809
"Austria","2020",9,6771
"Austria","2020",10,7650
"Austria","2020",11,9993
"Austria","2020",12,10350
"Austria","2021",1,8872
"Austria","2021",2,7099
"Austria","2021",3,7558
"Austria","2021",4,7494
"Austria","2021",5,7098
"Austria","2021",6,7047
"Austria","2021",7,6829
"Austria","2021",8,7135
"Austria","2021",9,7079
"Austria","2021",10,7734
"Austria","2021",11,9055
"Austria","2021",12,8962
"Belgium","2000",1,12008
"Belgium","2000",2,9169
"Belgium","2000",3,8788
"Belgium","2000",4,8417
"Belgium","2000",5,8247
"Belgium","2000",6,8197
"Belgium","2000",7,8236
"Belgium","2000",8,8253
